legid,fullname,pr_url,xpath_pr,rss,xpath_date
PAL000001,Richard L Alloway II,http://senatoralloway.com/news.htm,//p/a,FALSE,
PAL000002,David G Argall,http://senatorargall.com/news.htm,//p/a,FALSE,
PAL000003,Lisa Baker,http://www.senatorbaker.com/news.htm,//p/a,FALSE,
PAL000004,Lisa M Boscola,http://www.senatorboscola.com/feed,NULL,TRUE,
PAL000005,Patrick M Browne,http://www.senatorbrowne.com/press.htm,//p/a,FALSE,
PAL000006,Mike Brubaker,http://senatorbrubaker.com/news.htm,//p/a,FALSE,
PAL000007,Jake Corman,http://jakecorman.com/news.htm,//p/a,FALSE,
PAL000008,Jay Costa,http://www.senatorcosta.com/feed,NULL,TRUE,
PAL000009,Andrew E Dinniman,http://www.senatordinniman.com/feed,NULL,TRUE,
PAL000011,John H Eichelberger,http://senatoreichelberger.com/category/pr/feed/,NULL,TRUE,
PAL000012,Edwin B Erickson,http://www.senatorerickson.com/news.htm,//p/a,FALSE,
PAL000013,Lawrence M Farnese Jr.,http://www.senatorfarnese.com/feed,NULL,TRUE,
PAL000014,Jim Ferlo,http://www.senatorferlo.com/feed,NULL,TRUE,
PAL000015,Mike Folmer,http://senatorfolmer.com/news.htm,//p/a,FALSE,
PAL000016,Wayne D Fontana,http://www.senatorfontana.com/feed,NULL,TRUE,
PAL000017,John R Gordner,http://www.senatorgordner.com/press.htm,//p/a,FALSE,
PAL000018,Stewart J Greenleaf,http://www.senatorgreenleaf.com/news.htm,//p/a,FALSE,
PAL000019,Vincent J Hughes,http://senatorhughes.com/feed,NULL,TRUE,
PAL000020,Richard A Kasunic,http://www.senatorkasunic.com/newsroom/press-releases,//h2/a,FALSE,///span[@class='date time published']
PAL000021,Shirley M Kitchen,http://www.senatorkitchen.com/feed,NULL,TRUE,
PAL000022,Daylin Leach,http://www.senatorleach.com/feed,NULL,TRUE,
PAL000024,Charles T McIlhinney Jr.,http://www.senatormcilhinney.com/news.htm,//p/a,FALSE,
PAL000026,Bob Mensch,http://www.senatormensch.com/news.htm,//p/a,FALSE,
PAL000031,Dominic Pileggi,http://www.senatorpileggi.com/news.htm,//p/a,FALSE,
PAL000033,John C Rafferty Jr.,http://www.senatorrafferty.com/news.htm,//p/a,FALSE,
PAL000034,Robert D Robbins,http://www.senatorrobbins.com/news.htm,//p/a,FALSE,
PAL000035,Joseph B Scarnati III,http://www.senatorscarnati.com/feed/,NULL,TRUE,
PAL000036,Lloyd K Smucker,http://senatorsmucker.com/news.htm,//p/a,FALSE,
PAL000037,Michael J Stack,http://www.senatorstack.com/feed,NULL,TRUE,
PAL000039,Christine M Tartaglione,http://www.senatortartaglione.com/newsroom/news-releases,//h2/a,FALSE,///time
PAL000040,Robert M Tomlinson,http://www.senatortomlinson.com/news.htm,//p/a,FALSE,
PAL000041,Patricia H Vance,http://www.senatorvance.com/news.htm,//p/a,FALSE,
PAL000042,Elder A Vogel Jr.,http://senatoreldervogel.com/news.htm,//p/a,FALSE,
PAL000043,Kim L Ward,http://senatorward.com/news.htm,//p/a,FALSE,
PAL000045,Michael L Waugh,http://www.senatorwaugh.com/news.htm,//p/a,FALSE,
PAL000047,Donald D White,http://www.senatordonwhite.com/news.htm,//p/a,FALSE,
PAL000048,Anthony H Williams,http://www.senatoranthonyhwilliams.com/feed,NULL,TRUE,
PAL000049,John N Wozniak,http://www.senator-wozniak.com/feed,NULL,TRUE,
PAL000050,Gene Yaw,http://senatorgeneyaw.com/news.htm,//p/a,FALSE,
PAL000051,William F Adolph Jr.,http://www.williamadolph.com/latestnews.aspx,//p/a,FALSE,
PAL000052,Matthew E Baker,http://www.repbaker.com/RSS.aspx?ID=36,NULL,TRUE,
PAL000053,Bryan Barbin,http://www.pahouse.com/pr/xml/430.xml,NULL,TRUE,
PAL000054,Stephen Barrar,http://www.stevebarrar.com/RSS.aspx?ID=84,NULL,TRUE,
PAL000057,Kerry A Benninghoff,http://www.kerrybenninghoff.com/RSS.aspx?ID=92,NULL,TRUE,
PAL000059,Louise Williams Bishop,http://www.pahouse.com/pr/xml/82.xml,NULL,TRUE,
PAL000060,Karen Boback,http://www.repboback.com/RSS.aspx?ID=67,NULL,TRUE,
PAL000062,Brendan F Boyle,http://www.pahouse.com/pr/xml/436.xml,NULL,TRUE,
PAL000063,Matthew D Bradford,http://www.pahouse.com/pr/xml/429.xml,NULL,TRUE,
PAL000065,Tim Briggs,http://www.pahouse.com/pr/xml/434.xml,NULL,TRUE,
PAL000066,Michele Brooks,http://www.repmichelebrooks.com/RSS.aspx?ID=15,NULL,TRUE,
