legid,fullname,twitter
PAL000001,"Richard L Alloway II",SenatorAlloway
PAL000002,"David G Argall",SenatorArgall
PAL000003,"Lisa Baker",
PAL000004,"Lisa M Boscola",SenLisaBoscola
PAL000005,"Patrick M Browne",
PAL000006,"Mike Brubaker",SenatorBrubaker
PAL000008,"Jay Costa",
PAL000009,"Andrew E Dinniman",SenatorDinniman
PAL000011,"John H Eichelberger",
PAL000012,"Edwin B Erickson",
PAL000013,"Lawrence M Farnese Jr.",larryfarnese
PAL000014,"Jim Ferlo",SenatorJimFerlo
PAL000015,"Mike Folmer",senatorfolmer
PAL000016,"Wayne D Fontana",waynedfontana
PAL000017,"John R Gordner",
PAL000018,"Stewart J Greenleaf",SenGreenleaf
PAL000019,"Vincent J Hughes",SenatorHughes
PAL000020,"Richard A Kasunic",
PAL000021,"Shirley M Kitchen",ShirleyKitchen
PAL000022,"Daylin Leach",daylinleach
PAL000024,"Charles T McIlhinney Jr.",chuckmcilhinney
PAL000026,"Bob Mensch",
PAL000031,"Dominic Pileggi",SenatorPileggi
PAL000033,"John C Rafferty Jr.",
PAL000034,"Robert D Robbins",
PAL000035,"Joseph B Scarnati III",senatorscarnati
PAL000036,"Lloyd K Smucker",SenatorSmucker
PAL000037,"Michael J Stack",senmikestack
PAL000039,"Christine M Tartaglione",
PAL000040,"Robert M Tomlinson",
PAL000041,"Patricia H Vance",SenatorVance
PAL000042,"Elder A Vogel Jr.",
PAL000043,"Kim L Ward",SenatorKimWard
PAL000045,"Michael L Waugh",
PAL000047,"Donald D White",
PAL000048,"Anthony H Williams",SenTonyWilliams
PAL000049,"John N Wozniak",
PAL000050,"Gene Yaw",SenatorGeneYaw
PAL000051,"William F Adolph Jr.",
PAL000052,"Matthew E Baker",
PAL000053,"Bryan Barbin",RepBryanBarbin
PAL000054,"Stephen Barrar",stevebarrar
PAL000057,"Kerry A Benninghoff",
PAL000059,"Louise Williams Bishop",RepBishop
PAL000060,"Karen Boback",
PAL000062,"Brendan F Boyle",
PAL000063,"Matthew D Bradford",RepBradford
PAL000065,"Tim Briggs",RepBriggs
PAL000066,"Michele Brooks",
PAL000067,"Vanessa Lowery Brown",RepVanessaBrown
PAL000068,"Frank Burns",RepFrankBurns
PAL000070,"Thomas R Caltagirone",RepCaltagirone
PAL000071,"Mike Carroll",RepMikeCarroll
PAL000073,"Martin T Causer",
PAL000074,"Jim Christiana",repchristiana
PAL000075,"Paul I Clymer",
PAL000076,"Mark B Cohen",StateRepCohenPA
PAL000077,"H. Scott Conklin",scottconklin
PAL000078,"Dom Costa",RepDomCosta
PAL000079,"Paul Costa",
PAL000080,"Jim Cox",
PAL000082,"Angel Cruz",
PAL000084,"Bryan Cutler",repbryancutler
